scenario_id,arm,arm_label,policy,mutation_probability_per_locus,cnv_reversion_multiplier,cnv_daily_crs,target_gene,target_chromosome,selecting_therapy_id,selecting_drug_id,initial_strategy_id,withdrawal_strategy_id,config_path,output_path
al__control__mp_0p001983__rev_0p2__cost_0p001,al,AL,control,0.001983,0.2,0.001,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p001983__rev_0p2__cost_0p001.yml,experiments/cnv_reversion/outputs/al/control/mp_0p001983__rev_0p2__cost_0p001/
al__control__mp_0p001983__rev_0p2__cost_0p005,al,AL,control,0.001983,0.2,0.005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p001983__rev_0p2__cost_0p005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p001983__rev_0p2__cost_0p005/
al__control__mp_0p001983__rev_0p2__cost_0p01,al,AL,control,0.001983,0.2,0.01,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p001983__rev_0p2__cost_0p01.yml,experiments/cnv_reversion/outputs/al/control/mp_0p001983__rev_0p2__cost_0p01/
al__control__mp_0p001983__rev_0p4__cost_0p0005,al,AL,control,0.001983,0.4,0.0005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p001983__rev_0p4__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p001983__rev_0p4__cost_0p0005/
al__control__mp_0p001983__rev_0p4__cost_0p001,al,AL,control,0.001983,0.4,0.001,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p001983__rev_0p4__cost_0p001.yml,experiments/cnv_reversion/outputs/al/control/mp_0p001983__rev_0p4__cost_0p001/
al__control__mp_0p001983__rev_0p4__cost_0p005,al,AL,control,0.001983,0.4,0.005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p001983__rev_0p4__cost_0p005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p001983__rev_0p4__cost_0p005/
al__control__mp_0p001983__rev_0p4__cost_0p01,al,AL,control,0.001983,0.4,0.01,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p001983__rev_0p4__cost_0p01.yml,experiments/cnv_reversion/outputs/al/control/mp_0p001983__rev_0p4__cost_0p01/
al__control__mp_0p005__rev_0__cost_0p0005,al,AL,control,0.005,0.0,0.0005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0__cost_0p0005/
al__control__mp_0p005__rev_0__cost_0p001,al,AL,control,0.005,0.0,0.001,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0__cost_0p001.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0__cost_0p001/
al__control__mp_0p005__rev_0__cost_0p005,al,AL,control,0.005,0.0,0.005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0__cost_0p005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0__cost_0p005/
al__control__mp_0p005__rev_0__cost_0p01,al,AL,control,0.005,0.0,0.01,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0__cost_0p01.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0__cost_0p01/
al__control__mp_0p005__rev_0p01__cost_0p0005,al,AL,control,0.005,0.01,0.0005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p01__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p01__cost_0p0005/
al__control__mp_0p005__rev_0p01__cost_0p001,al,AL,control,0.005,0.01,0.001,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p01__cost_0p001.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p01__cost_0p001/
al__control__mp_0p005__rev_0p01__cost_0p005,al,AL,control,0.005,0.01,0.005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p01__cost_0p005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p01__cost_0p005/
al__control__mp_0p005__rev_0p01__cost_0p01,al,AL,control,0.005,0.01,0.01,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p01__cost_0p01.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p01__cost_0p01/
al__control__mp_0p005__rev_0p05__cost_0p0005,al,AL,control,0.005,0.05,0.0005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p05__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p05__cost_0p0005/
al__control__mp_0p005__rev_0p05__cost_0p001,al,AL,control,0.005,0.05,0.001,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p05__cost_0p001.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p05__cost_0p001/
al__control__mp_0p005__rev_0p05__cost_0p005,al,AL,control,0.005,0.05,0.005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p05__cost_0p005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p05__cost_0p005/
al__control__mp_0p005__rev_0p05__cost_0p01,al,AL,control,0.005,0.05,0.01,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p05__cost_0p01.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p05__cost_0p01/
al__control__mp_0p005__rev_0p1__cost_0p0005,al,AL,control,0.005,0.1,0.0005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p1__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p1__cost_0p0005/
al__control__mp_0p005__rev_0p1__cost_0p001,al,AL,control,0.005,0.1,0.001,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p1__cost_0p001.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p1__cost_0p001/
al__control__mp_0p005__rev_0p1__cost_0p005,al,AL,control,0.005,0.1,0.005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p1__cost_0p005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p1__cost_0p005/
al__control__mp_0p005__rev_0p1__cost_0p01,al,AL,control,0.005,0.1,0.01,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p1__cost_0p01.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p1__cost_0p01/
al__control__mp_0p005__rev_0p2__cost_0p0005,al,AL,control,0.005,0.2,0.0005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p2__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p2__cost_0p0005/
al__control__mp_0p005__rev_0p2__cost_0p001,al,AL,control,0.005,0.2,0.001,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p2__cost_0p001.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p2__cost_0p001/
al__control__mp_0p005__rev_0p2__cost_0p005,al,AL,control,0.005,0.2,0.005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p2__cost_0p005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p2__cost_0p005/
al__control__mp_0p005__rev_0p2__cost_0p01,al,AL,control,0.005,0.2,0.01,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p2__cost_0p01.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p2__cost_0p01/
al__control__mp_0p005__rev_0p4__cost_0p0005,al,AL,control,0.005,0.4,0.0005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p4__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p4__cost_0p0005/
al__control__mp_0p005__rev_0p4__cost_0p001,al,AL,control,0.005,0.4,0.001,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p4__cost_0p001.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p4__cost_0p001/
al__control__mp_0p005__rev_0p4__cost_0p005,al,AL,control,0.005,0.4,0.005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p4__cost_0p005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p4__cost_0p005/
al__control__mp_0p005__rev_0p4__cost_0p01,al,AL,control,0.005,0.4,0.01,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p005__rev_0p4__cost_0p01.yml,experiments/cnv_reversion/outputs/al/control/mp_0p005__rev_0p4__cost_0p01/
al__control__mp_0p01__rev_0__cost_0p0005,al,AL,control,0.01,0.0,0.0005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0__cost_0p0005/
al__control__mp_0p01__rev_0__cost_0p001,al,AL,control,0.01,0.0,0.001,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0__cost_0p001.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0__cost_0p001/
al__control__mp_0p01__rev_0__cost_0p005,al,AL,control,0.01,0.0,0.005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0__cost_0p005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0__cost_0p005/
al__control__mp_0p01__rev_0__cost_0p01,al,AL,control,0.01,0.0,0.01,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0__cost_0p01.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0__cost_0p01/
al__control__mp_0p01__rev_0p01__cost_0p0005,al,AL,control,0.01,0.01,0.0005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p01__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p01__cost_0p0005/
al__control__mp_0p01__rev_0p01__cost_0p001,al,AL,control,0.01,0.01,0.001,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p01__cost_0p001.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p01__cost_0p001/
al__control__mp_0p01__rev_0p01__cost_0p005,al,AL,control,0.01,0.01,0.005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p01__cost_0p005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p01__cost_0p005/
al__control__mp_0p01__rev_0p01__cost_0p01,al,AL,control,0.01,0.01,0.01,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p01__cost_0p01.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p01__cost_0p01/
al__control__mp_0p01__rev_0p05__cost_0p0005,al,AL,control,0.01,0.05,0.0005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p05__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p05__cost_0p0005/
al__control__mp_0p01__rev_0p05__cost_0p001,al,AL,control,0.01,0.05,0.001,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p05__cost_0p001.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p05__cost_0p001/
al__control__mp_0p01__rev_0p05__cost_0p005,al,AL,control,0.01,0.05,0.005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p05__cost_0p005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p05__cost_0p005/
al__control__mp_0p01__rev_0p05__cost_0p01,al,AL,control,0.01,0.05,0.01,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p05__cost_0p01.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p05__cost_0p01/
al__control__mp_0p01__rev_0p1__cost_0p0005,al,AL,control,0.01,0.1,0.0005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p1__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p1__cost_0p0005/
al__control__mp_0p01__rev_0p1__cost_0p001,al,AL,control,0.01,0.1,0.001,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p1__cost_0p001.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p1__cost_0p001/
al__control__mp_0p01__rev_0p1__cost_0p005,al,AL,control,0.01,0.1,0.005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p1__cost_0p005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p1__cost_0p005/
al__control__mp_0p01__rev_0p1__cost_0p01,al,AL,control,0.01,0.1,0.01,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p1__cost_0p01.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p1__cost_0p01/
al__control__mp_0p01__rev_0p2__cost_0p0005,al,AL,control,0.01,0.2,0.0005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p2__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p2__cost_0p0005/
al__control__mp_0p01__rev_0p2__cost_0p001,al,AL,control,0.01,0.2,0.001,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p2__cost_0p001.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p2__cost_0p001/
al__control__mp_0p01__rev_0p2__cost_0p005,al,AL,control,0.01,0.2,0.005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p2__cost_0p005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p2__cost_0p005/
al__control__mp_0p01__rev_0p2__cost_0p01,al,AL,control,0.01,0.2,0.01,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p2__cost_0p01.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p2__cost_0p01/
al__control__mp_0p01__rev_0p4__cost_0p0005,al,AL,control,0.01,0.4,0.0005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p4__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p4__cost_0p0005/
al__control__mp_0p01__rev_0p4__cost_0p001,al,AL,control,0.01,0.4,0.001,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p4__cost_0p001.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p4__cost_0p001/
al__control__mp_0p01__rev_0p4__cost_0p005,al,AL,control,0.01,0.4,0.005,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p4__cost_0p005.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p4__cost_0p005/
al__control__mp_0p01__rev_0p4__cost_0p01,al,AL,control,0.01,0.4,0.01,Pfmdr1,5,6,1,0,,experiments/cnv_reversion/configs/al/control/mp_0p01__rev_0p4__cost_0p01.yml,experiments/cnv_reversion/outputs/al/control/mp_0p01__rev_0p4__cost_0p01/
al__withdrawal__mp_0p001983__rev_0__cost_0p0005,al,AL,withdrawal,0.001983,0.0,0.0005,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0__cost_0p0005/
al__withdrawal__mp_0p001983__rev_0__cost_0p001,al,AL,withdrawal,0.001983,0.0,0.001,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0__cost_0p001.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0__cost_0p001/
al__withdrawal__mp_0p001983__rev_0__cost_0p005,al,AL,withdrawal,0.001983,0.0,0.005,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0__cost_0p005.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0__cost_0p005/
al__withdrawal__mp_0p001983__rev_0__cost_0p01,al,AL,withdrawal,0.001983,0.0,0.01,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0__cost_0p01.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0__cost_0p01/
al__withdrawal__mp_0p001983__rev_0p01__cost_0p0005,al,AL,withdrawal,0.001983,0.01,0.0005,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0p01__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0p01__cost_0p0005/
al__withdrawal__mp_0p001983__rev_0p01__cost_0p001,al,AL,withdrawal,0.001983,0.01,0.001,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0p01__cost_0p001.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0p01__cost_0p001/
al__withdrawal__mp_0p001983__rev_0p01__cost_0p005,al,AL,withdrawal,0.001983,0.01,0.005,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0p01__cost_0p005.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0p01__cost_0p005/
al__withdrawal__mp_0p001983__rev_0p01__cost_0p01,al,AL,withdrawal,0.001983,0.01,0.01,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0p01__cost_0p01.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0p01__cost_0p01/
al__withdrawal__mp_0p001983__rev_0p05__cost_0p0005,al,AL,withdrawal,0.001983,0.05,0.0005,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0p05__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0p05__cost_0p0005/
al__withdrawal__mp_0p001983__rev_0p05__cost_0p001,al,AL,withdrawal,0.001983,0.05,0.001,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0p05__cost_0p001.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0p05__cost_0p001/
al__withdrawal__mp_0p001983__rev_0p05__cost_0p005,al,AL,withdrawal,0.001983,0.05,0.005,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0p05__cost_0p005.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0p05__cost_0p005/
al__withdrawal__mp_0p001983__rev_0p05__cost_0p01,al,AL,withdrawal,0.001983,0.05,0.01,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0p05__cost_0p01.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0p05__cost_0p01/
al__withdrawal__mp_0p001983__rev_0p1__cost_0p0005,al,AL,withdrawal,0.001983,0.1,0.0005,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0p1__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0p1__cost_0p0005/
al__withdrawal__mp_0p001983__rev_0p1__cost_0p001,al,AL,withdrawal,0.001983,0.1,0.001,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0p1__cost_0p001.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0p1__cost_0p001/
al__withdrawal__mp_0p001983__rev_0p1__cost_0p005,al,AL,withdrawal,0.001983,0.1,0.005,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0p1__cost_0p005.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0p1__cost_0p005/
al__withdrawal__mp_0p001983__rev_0p1__cost_0p01,al,AL,withdrawal,0.001983,0.1,0.01,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0p1__cost_0p01.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0p1__cost_0p01/
al__withdrawal__mp_0p001983__rev_0p2__cost_0p0005,al,AL,withdrawal,0.001983,0.2,0.0005,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0p2__cost_0p0005.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0p2__cost_0p0005/
al__withdrawal__mp_0p001983__rev_0p2__cost_0p001,al,AL,withdrawal,0.001983,0.2,0.001,Pfmdr1,5,6,1,0,1,experiments/cnv_reversion/configs/al/withdrawal/mp_0p001983__rev_0p2__cost_0p001.yml,experiments/cnv_reversion/outputs/al/withdrawal/mp_0p001983__rev_0p2__cost_0p001/
